<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.10.10	17:24:00	228.67	228.71	228.45	228.50	441	111648	1
2025.10.10	17:25:00	228.52	229.12	228.36	228.64	816	207033	1
2025.10.10	17:26:00	228.61	228.63	228.05	228.42	546	143394	1
2025.10.10	17:27:00	228.41	228.68	228.05	228.17	539	132338	1
2025.10.10	17:28:00	228.23	228.77	228.12	228.63	527	106895	1
2025.10.10	17:29:00	228.63	228.71	228.22	228.53	352	83504	1
2025.10.10	17:30:00	228.56	228.56	228.08	228.13	382	74281	1
2025.10.10	17:31:00	228.13	228.31	228.01	228.15	394	104029	1
2025.10.10	17:32:00	228.11	228.57	228.11	228.44	320	104461	1
2025.10.10	17:33:00	228.45	228.60	228.15	228.56	308	67198	1
2025.10.10	17:34:00	228.50	228.55	228.12	228.39	255	56914	1
2025.10.10	17:35:00	228.37	228.50	228.15	228.34	287	63959	1
2025.10.10	17:36:00	228.31	228.34	227.90	228.11	425	92959	1
2025.10.10	17:37:00	228.13	228.68	228.13	228.64	300	86919	1
2025.10.10	17:38:00	228.61	228.65	227.95	228.03	365	90435	1
2025.10.10	17:39:00	228.06	228.14	227.66	227.68	454	123687	1
2025.10.10	17:40:00	227.67	227.69	227.05	227.06	752	209533	1
2025.10.10	17:41:00	227.08	227.12	226.58	226.72	968	251807	1
2025.10.10	17:42:00	226.72	226.82	226.25	226.32	909	201627	1
2025.10.10	17:43:00	226.31	226.96	226.14	226.77	1079	289565	1
2025.10.10	17:44:00	226.79	227.35	226.71	227.28	730	197824	1
2025.10.10	17:45:00	227.28	227.41	227.12	227.28	489	113704	1
2025.10.10	17:46:00	227.27	227.39	227.03	227.32	489	109522	1
2025.10.10	17:47:00	227.31	227.34	226.88	226.98	571	131110	1
2025.10.10	17:48:00	226.99	227.17	226.75	226.80	433	109132	1
2025.10.10	17:49:00	226.80	227.10	226.63	226.69	634	171746	1
2025.10.10	17:50:00	226.70	227.11	226.50	227.11	528	149939	1
2025.10.10	17:51:00	227.09	227.20	226.71	227.03	486	121277	1
2025.10.10	17:52:00	227.05	227.05	226.82	226.87	375	78468	1
2025.10.10	17:53:00	226.87	226.89	226.43	226.61	582	138844	1
2025.10.10	17:54:00	226.60	226.77	226.56	226.68	380	86614	1
2025.10.10	17:55:00	226.66	226.83	226.18	226.25	752	213027	1
2025.10.10	17:56:00	226.24	226.27	225.81	225.91	1108	347855	1
2025.10.10	17:57:00	225.92	226.07	224.42	224.46	1785	395912	1
2025.10.10	17:58:00	224.44	224.59	223.58	224.05	2262	572668	1
